Page,PageRole,PrimaryCompetencyID,ReviewCompetencyIDs,ObjectType,TargetObjectCount,Constraint,Status
13,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
14,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
15,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
16,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
17,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
18,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
19,TWO_LETTER_CONNECTED,C0006,C0002|C0003|C0004|C0005,WORD_FRAGMENT,24,Connected two-letter forms prioritized; new objects only,COMPOSED_CANDIDATE
20,AWAILUS_SUWAR_AND_TWO_LETTER_REVIEW,SPECIAL_AWAIL,C0002|C0003|C0004|C0005|C0006,AWAIL_AL_SUWAR|WORD_FRAGMENT,24,Awailus suwar without repetition; remaining slots use new two-letter Quran fragments,COMPOSED_CANDIDATE
21,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
22,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
23,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
24,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
25,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
26,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
27,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
28,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
29,TWO_LETTER_MIXED_REVIEW,C0005|C0006,C0002|C0003|C0004,WORD_FRAGMENT,24,Competencies repeat; Arabic objects do not,COMPOSED_CANDIDATE
30,AWAILUS_SUWAR_AND_TWO_LETTER_REVIEW,SPECIAL_AWAIL,C0002|C0003|C0004|C0005|C0006,AWAIL_AL_SUWAR|WORD_FRAGMENT,24,Awailus suwar without repetition; remaining slots use new two-letter Quran fragments,COMPOSED_CANDIDATE
31,CUMULATIVE_MUROJAAH,C0005|C0006,C0001|C0002|C0003|C0004,WORD_FRAGMENT,24,New Quran fragments only; no three-letter progression,COMPOSED_CANDIDATE
32,CUMULATIVE_MUROJAAH,C0005|C0006,C0001|C0002|C0003|C0004,WORD_FRAGMENT,24,New Quran fragments only; no three-letter progression,COMPOSED_CANDIDATE
33,CUMULATIVE_MUROJAAH,C0005|C0006,C0001|C0002|C0003|C0004,WORD_FRAGMENT,24,New Quran fragments only; no three-letter progression,COMPOSED_CANDIDATE
34,CUMULATIVE_MUROJAAH,C0005|C0006,C0001|C0002|C0003|C0004,WORD_FRAGMENT,24,New Quran fragments only; no three-letter progression,COMPOSED_CANDIDATE
35,CUMULATIVE_MUROJAAH,C0005|C0006,C0001|C0002|C0003|C0004,WORD_FRAGMENT,24,New Quran fragments only; no three-letter progression,COMPOSED_CANDIDATE
36,CUMULATIVE_MUROJAAH,C0005|C0006,C0001|C0002|C0003|C0004,WORD_FRAGMENT,24,New Quran fragments only; no three-letter progression,COMPOSED_CANDIDATE
37,EVALUATION,C0001|C0002|C0003|C0004|C0005|C0006,,EVALUATION,0,Evaluation generated separately; no new QWO objects,DRAFT
38,HAFALAN,,,HAFALAN,0,Non-QWO page,DRAFT
39,ARABIC_INTEGRATION,,,ARABIC,0,Non-QWO page,DRAFT
40,FINAL_EVALUATION,C0001|C0002|C0003|C0004|C0005|C0006,,EVALUATION,0,Final Jilid 1 evaluation; no new QWO objects,DRAFT
