PageNumber,PageCode,TahfidzStatus,TahfidzText,TahfidzRef,BahasaArabStatus,BahasaArabText,BahasaArabMeaning,NidomStatus,NidomText,NidomMeaning
"11","QJ1-P011","MAPPED_J1_V1","وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ","Al-Falaq 5","FROZEN_BASELINE","مَرَّةً أُخْرَى","Sekali lagi","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"12","QJ1-P012","MAPPED_J1_V1","قُلْ هُوَ اللَّهُ أَحَدٌ","Al-Ikhlas 1","FROZEN_BASELINE","هَيَّا نَبْدَأْ • اِسْمَعْ • اُنْظُرْ • كَرِّرْ","Latihan kumulatif","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"13","QJ1-P013","MAPPED_J1_V1","اللَّهُ الصَّمَدُ","Al-Ikhlas 2","FROZEN_BASELINE","اِفْتَحِ الْقُرْآنَ","Buka Al-Qur'an","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"14","QJ1-P014","MAPPED_J1_V1","لَمْ يَلِدْ وَلَمْ يُولَدْ","Al-Ikhlas 3","FROZEN_BASELINE","اِفْتَحْ هَذِهِ الصَّفْحَةَ","Buka halaman ini","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"15","QJ1-P015","MAPPED_J1_V1","وَلَمْ يَكُن لَّهُ كُفُوًا أَحَدٌ","Al-Ikhlas 4","FROZEN_BASELINE","اِقْرَأْ","Baca","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"16","QJ1-P016","MAPPED_J1_V1","تَبَّتْ يَدَا أَبِي لَهَبٍ وَتَبَّ","Al-Masad 1","FROZEN_BASELINE","اِقْرَأْ هَذَا","Baca ini","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"17","QJ1-P017","MAPPED_J1_V1","مَا أَغْنَىٰ عَنْهُ مَالُهُ وَمَا كَسَبَ","Al-Masad 2","FROZEN_BASELINE","أَغْلِقِ الْقُرْآنَ","Tutup Al-Qur'an","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"18","QJ1-P018","MAPPED_J1_V1","سَيَصْلَىٰ نَارًا ذَاتَ لَهَبٍ","Al-Masad 3","FROZEN_BASELINE","اِفْتَحِ الْقُرْآنَ • اُنْظُرْ • اِقْرَأْ • كَرِّرْ","Latihan kumulatif","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"19","QJ1-P019","MAPPED_J1_V1","وَامْرَأَتُهُ حَمَّالَةَ الْحَطَبِ","Al-Masad 4","FROZEN_BASELINE","مَا هَذَا؟","Apa ini?","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"20","QJ1-P020","MAPPED_J1_V1","فِي جِيدِهَا حَبْلٌ مِّن مَّسَدٍ","Al-Masad 5","FROZEN_BASELINE","هَذَا الْقُرْآنُ","Ini Al-Qur'an","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"21","QJ1-P021","MAPPED_J1_V1","إِذَا جَاءَ نَصْرُ اللَّهِ وَالْفَتْحُ","An-Nasr 1","FROZEN_BASELINE","هَذَا كِتَابٌ","Ini buku","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"22","QJ1-P022","MAPPED_J1_V1","وَرَأَيْتَ النَّاسَ يَدْخُلُونَ فِي دِينِ اللَّهِ أَفْوَاجًا","An-Nasr 2","FROZEN_BASELINE","هَذَا قَلَمٌ","Ini pena","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"23","QJ1-P023","MAPPED_J1_V1","فَسَبِّحْ بِحَمْدِ رَبِّكَ وَاسْتَغْفِرْهُ إِنَّهُ كَانَ تَوَّابًا","An-Nasr 3","FROZEN_BASELINE","هَذِهِ صَفْحَةٌ","Ini halaman","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"24","QJ1-P024","MAPPED_J1_V1","قُلْ يَا أَيُّهَا الْكَافِرُونَ","Al-Kafirun 1","FROZEN_BASELINE","هَذَا الْقُرْآنُ • هَذَا كِتَابٌ • هَذَا قَلَمٌ","Latihan kumulatif","SPIRAL_J1_V1","الطُّهُورُ شَطْرُ الْإِيمَانِ","Jaga badan, pakaian, tempat, dan alat belajar tetap bersih."
"25","QJ1-P025","MAPPED_J1_V1","لَا أَعْبُدُ مَا تَعْبُدُونَ","Al-Kafirun 2","FROZEN_BASELINE","هَلْ تَفْهَمُ؟","Apakah kamu paham?","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"26","QJ1-P026","MAPPED_J1_V1","وَلَا أَنتُمْ عَابِدُونَ مَا أَعْبُدُ","Al-Kafirun 3","FROZEN_BASELINE","نَعَمْ، أَفْهَمُ","Ya, saya paham","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"27","QJ1-P027","MAPPED_J1_V1","وَلَا أَنَا عَابِدٌ مَّا عَبَدتُّمْ","Al-Kafirun 4","FROZEN_BASELINE","لَا، لَمْ أَفْهَمْ بَعْدُ","Saya belum paham","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"28","QJ1-P028","MAPPED_J1_V1","وَلَا أَنتُمْ عَابِدُونَ مَا أَعْبُدُ","Al-Kafirun 5","FROZEN_BASELINE","مِنْ فَضْلِكَ كَرِّرْ","Tolong ulangi","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"29","QJ1-P029","MAPPED_J1_V1","لَكُمْ دِينُكُمْ وَلِيَ دِينِ","Al-Kafirun 6","FROZEN_BASELINE","مِنْ فَضْلِكَ اِقْرَأْ مَرَّةً أُخْرَى","Baca sekali lagi","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"30","QJ1-P030","MAPPED_J1_V1","إِنَّا أَعْطَيْنَاكَ الْكَوْثَرَ","Al-Kawthar 1","FROZEN_BASELINE","اِقْرَأْ • هَلْ تَفْهَمُ؟ • نَعَمْ، أَفْهَمُ","Latihan kumulatif","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"31","QJ1-P031","MAPPED_J1_V1","فَصَلِّ لِرَبِّكَ وَانْحَرْ","Al-Kawthar 2","FROZEN_BASELINE","جَيِّدٌ","Bagus","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"32","QJ1-P032","MAPPED_J1_V1","إِنَّ شَانِئَكَ هُوَ الْأَبْتَرُ","Al-Kawthar 3","FROZEN_BASELINE","جَيِّدٌ جِدًّا","Bagus sekali","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"33","QJ1-P033","MAPPED_J1_V1","أَرَأَيْتَ الَّذِي يُكَذِّبُ بِالدِّينِ","Al-Ma'un 1","FROZEN_BASELINE","شُكْرًا","Terima kasih","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"34","QJ1-P034","MAPPED_J1_V1","فَذَٰلِكَ الَّذِي يَدُعُّ الْيَتِيمَ","Al-Ma'un 2","FROZEN_BASELINE","عَفْوًا","Sama-sama","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"35","QJ1-P035","MAPPED_J1_V1","وَلَا يَحُضُّ عَلَىٰ طَعَامِ الْمِسْكِينِ","Al-Ma'un 3","FROZEN_BASELINE","بَارَكَ اللَّهُ فِيكَ","Semoga Allah memberkahimu","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"36","QJ1-P036","MAPPED_J1_V1","فَوَيْلٌ لِّلْمُصَلِّينَ","Al-Ma'un 4","FROZEN_BASELINE","السَّلَامُ عَلَيْكُمْ • اِفْتَحِ الْقُرْآنَ • اِقْرَأْ • جَيِّدٌ جِدًّا","Latihan kumulatif","SPIRAL_J1_V1","إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ","Jaga kerapian buku, tempat belajar, dan penampilan tanpa kesombongan."
"37","QJ1-P037","MAPPED_J1_V1","الَّذِينَ هُمْ عَن صَلَاتِهِمْ سَاهُونَ","Al-Ma'un 5","FROZEN_BASELINE","السَّلَامُ عَلَيْكُمْ • وَعَلَيْكُمُ السَّلَامُ • هَيَّا نَبْدَأْ","Mini dialog 1","SPIRAL_J1_V1","السَّلَامُ • الطُّهُورُ • الْجَمَالُ","Murojaah NIDOM Jilid 1: salam, kebersihan, serta rapi dan indah."
"38","QJ1-P038","MAPPED_J1_V1","الَّذِينَ هُمْ يُرَاءُونَ","Al-Ma'un 6","FROZEN_BASELINE","مَا هَذَا؟ • هَذَا الْقُرْآنُ • هَذَا قَلَمٌ","Mini dialog 2","SPIRAL_J1_V1","السَّلَامُ • الطُّهُورُ • الْجَمَالُ","Murojaah NIDOM Jilid 1: salam, kebersihan, serta rapi dan indah."
"39","QJ1-P039","MAPPED_J1_V1","وَيَمْنَعُونَ الْمَاعُونَ","Al-Ma'un 7","FROZEN_BASELINE","هَلْ تَفْهَمُ؟ • نَعَمْ، أَفْهَمُ • شُكْرًا","Mini dialog 3","SPIRAL_J1_V1","السَّلَامُ • الطُّهُورُ • الْجَمَالُ","Murojaah NIDOM Jilid 1: salam, kebersihan, serta rapi dan indah."
"40","QJ1-P040","MAPPED_J1_V1","مُرَاجَعَةٌ شَامِلَةٌ","Review Jilid 1","FROZEN_BASELINE","السَّلَامُ عَلَيْكُمْ • اِسْمَعْ • قُلْ • كَرِّرْ • شُكْرًا","Review komunikasi kelas","SPIRAL_J1_V1","السَّلَامُ • الطُّهُورُ • الْجَمَالُ","Murojaah NIDOM Jilid 1: salam, kebersihan, serta rapi dan indah."
