CompetencyID,AllowedObjectTypes,AllowedBaseLetters,AllowedMarks,ForbiddenMarks,MaxBaseLetters,RequireConnected,RequireNonConnector,AllowHamzaForms,AllowMadd,AllowTanwin,AllowSukun,AllowShadda,AllowAlifLam,AllowTaMarbuta,AllowAlifMaqsura,Notes
C0021,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,َُِْ,ًٌٍّٰٓ,12,ANY,ANY,YES,YES,NO,YES,NO,YES,YES,YES,Sukun hamzah
C0022,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِْ,ًٌٍّٰٓ,12,ANY,ANY,NO,YES,NO,YES,NO,YES,YES,YES,Sukun ain ghain
C0023,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِْ,ًٌٍّٰٓ,12,ANY,ANY,NO,YES,NO,YES,NO,YES,YES,YES,Sukun tebal
C0024,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِّْ,ًٌٍٰٓ,12,ANY,ANY,NO,YES,NO,YES,YES,YES,YES,YES,Tasydid
C0025,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهويٱ,َُِّْٰ,ًٌٍٓ,12,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Alif lam
C0026,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوية,َُِّْٰ,ًٌٍٓ,12,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Ta marbuthah
C0027,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهويى,َُِّْٰ,ًٌٍٓ,12,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Alif maqshurah
C0028,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,َُِّْٰ,ًٌٍٓ,12,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Hamzah qatha
C0029,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهويٱ,َُِّْٰ,ًٌٍٓ,12,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Hamzah washal
C0030,WORD,اللهٱ,َُِّْٰ,ًٌٍٓ,8,ANY,ANY,YES,YES,NO,YES,YES,YES,NO,NO,Lafzul Jalalah dasar
C0031,WORD,اللهٱ,َُِّْٰ,ًٌٍٓ,10,ANY,ANY,YES,YES,NO,YES,YES,YES,NO,NO,Lafzul Jalalah berharakat
C0032,WORD,وبفتلثمكاللهٱ,َُِّْٰ,ًٌٍٓ,12,ANY,ANY,YES,YES,NO,YES,YES,YES,NO,NO,Lafzul Jalalah awalan
C0033,PHRASE,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,30,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Frasa dua kata
C0034,PHRASE,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,60,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Frasa 3-4 kata
C0035,AYAH_FRAGMENT,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,120,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Potongan pendek
C0036,AYAH_FRAGMENT,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,250,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Potongan menengah
C0037,FULL_AYAH,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,300,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Ayat pendek
C0038,FULL_AYAH,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,600,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Ayat sedang
C0039,FULL_AYAH,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,2000,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Ayat panjang
C0040,AYAH_FRAGMENT|FULL_AYAH,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,2000,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Waqaf ibtida
C0041,FULL_AYAH,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,ًٌٍَُِّْٰٓ,,2000,ANY,ANY,YES,YES,YES,YES,YES,YES,YES,YES,Integrasi
