page_id,jilid,page,status,canonical_path
QJ1-P030,1,30,EXISTS,books/jilid-1/pages/QJ1-P030.md
QJ1-P031,1,31,EXISTS,books/jilid-1/pages/QJ1-P031.md
QJ1-P032,1,32,EXISTS,books/jilid-1/pages/QJ1-P032.md
QJ1-P033,1,33,EXISTS,books/jilid-1/pages/QJ1-P033.md
QJ1-P034,1,34,EXISTS,books/jilid-1/pages/QJ1-P034.md
QJ1-P035,1,35,EXISTS,books/jilid-1/pages/QJ1-P035.md
QJ1-P036,1,36,EXISTS,books/jilid-1/pages/QJ1-P036.md
QJ1-P037,1,37,EXISTS,books/jilid-1/pages/QJ1-P037.md
QJ1-P038,1,38,EXISTS,books/jilid-1/pages/QJ1-P038.md
QJ1-P039,1,39,EXISTS,books/jilid-1/pages/QJ1-P039.md
QJ1-P040,1,40,EXISTS,books/jilid-1/pages/QJ1-P040.md
QJ2-P001,2,1,NORMALIZE,books/jilid-2/pages/QJ2-P001.md
QJ2-P002,2,2,NORMALIZE,books/jilid-2/pages/QJ2-P002.md
QJ2-P003,2,3,NORMALIZE,books/jilid-2/pages/QJ2-P003.md
QJ2-P004,2,4,NORMALIZE,books/jilid-2/pages/QJ2-P004.md
QJ2-P005,2,5,NORMALIZE,books/jilid-2/pages/QJ2-P005.md
QJ2-P006,2,6,NORMALIZE,books/jilid-2/pages/QJ2-P006.md
QJ2-P007,2,7,NORMALIZE,books/jilid-2/pages/QJ2-P007.md
QJ2-P008,2,8,NORMALIZE,books/jilid-2/pages/QJ2-P008.md
QJ2-P009,2,9,NORMALIZE,books/jilid-2/pages/QJ2-P009.md
QJ2-P010,2,10,NORMALIZE,books/jilid-2/pages/QJ2-P010.md
QJ2-P011,2,11,NORMALIZE,books/jilid-2/pages/QJ2-P011.md
QJ2-P012,2,12,NORMALIZE,books/jilid-2/pages/QJ2-P012.md
QJ2-P013,2,13,NORMALIZE,books/jilid-2/pages/QJ2-P013.md
QJ2-P014,2,14,NORMALIZE,books/jilid-2/pages/QJ2-P014.md
QJ2-P015,2,15,NORMALIZE,books/jilid-2/pages/QJ2-P015.md
QJ2-P016,2,16,NORMALIZE,books/jilid-2/pages/QJ2-P016.md
QJ2-P017,2,17,NORMALIZE,books/jilid-2/pages/QJ2-P017.md
QJ2-P018,2,18,NORMALIZE,books/jilid-2/pages/QJ2-P018.md
QJ2-P019,2,19,NORMALIZE,books/jilid-2/pages/QJ2-P019.md
QJ2-P020,2,20,NORMALIZE,books/jilid-2/pages/QJ2-P020.md
QJ2-P021,2,21,NORMALIZE,books/jilid-2/pages/QJ2-P021.md
QJ2-P022,2,22,NORMALIZE,books/jilid-2/pages/QJ2-P022.md
QJ2-P023,2,23,NORMALIZE,books/jilid-2/pages/QJ2-P023.md
QJ2-P024,2,24,NORMALIZE,books/jilid-2/pages/QJ2-P024.md
QJ2-P025,2,25,NORMALIZE,books/jilid-2/pages/QJ2-P025.md
QJ2-P026,2,26,NORMALIZE,books/jilid-2/pages/QJ2-P026.md
QJ2-P027,2,27,NORMALIZE,books/jilid-2/pages/QJ2-P027.md
QJ2-P028,2,28,NORMALIZE,books/jilid-2/pages/QJ2-P028.md
QJ2-P029,2,29,NORMALIZE,books/jilid-2/pages/QJ2-P029.md
QJ2-P030,2,30,NORMALIZE,books/jilid-2/pages/QJ2-P030.md
QJ2-P031,2,31,NORMALIZE,books/jilid-2/pages/QJ2-P031.md
QJ2-P032,2,32,NORMALIZE,books/jilid-2/pages/QJ2-P032.md
QJ2-P033,2,33,NORMALIZE,books/jilid-2/pages/QJ2-P033.md
QJ2-P034,2,34,NORMALIZE,books/jilid-2/pages/QJ2-P034.md
QJ2-P035,2,35,NORMALIZE,books/jilid-2/pages/QJ2-P035.md
QJ2-P036,2,36,NORMALIZE,books/jilid-2/pages/QJ2-P036.md
QJ2-P037,2,37,NORMALIZE,books/jilid-2/pages/QJ2-P037.md
QJ2-P038,2,38,NORMALIZE,books/jilid-2/pages/QJ2-P038.md
QJ2-P039,2,39,NORMALIZE,books/jilid-2/pages/QJ2-P039.md
QJ2-P040,2,40,NORMALIZE,books/jilid-2/pages/QJ2-P040.md
QJ3-P001,3,1,NORMALIZE,books/jilid-3/pages/QJ3-P001.md
QJ3-P002,3,2,NORMALIZE,books/jilid-3/pages/QJ3-P002.md
QJ3-P003,3,3,NORMALIZE,books/jilid-3/pages/QJ3-P003.md
QJ3-P004,3,4,NORMALIZE,books/jilid-3/pages/QJ3-P004.md
QJ3-P005,3,5,NORMALIZE,books/jilid-3/pages/QJ3-P005.md
QJ3-P006,3,6,NORMALIZE,books/jilid-3/pages/QJ3-P006.md
QJ3-P007,3,7,NORMALIZE,books/jilid-3/pages/QJ3-P007.md
QJ3-P008,3,8,NORMALIZE,books/jilid-3/pages/QJ3-P008.md
QJ3-P009,3,9,NORMALIZE,books/jilid-3/pages/QJ3-P009.md
QJ3-P010,3,10,NORMALIZE,books/jilid-3/pages/QJ3-P010.md
QJ3-P011,3,11,NORMALIZE,books/jilid-3/pages/QJ3-P011.md
QJ3-P012,3,12,NORMALIZE,books/jilid-3/pages/QJ3-P012.md
QJ3-P013,3,13,NORMALIZE,books/jilid-3/pages/QJ3-P013.md
QJ3-P014,3,14,NORMALIZE,books/jilid-3/pages/QJ3-P014.md
QJ3-P015,3,15,NORMALIZE,books/jilid-3/pages/QJ3-P015.md
QJ3-P016,3,16,NORMALIZE,books/jilid-3/pages/QJ3-P016.md
QJ3-P017,3,17,NORMALIZE,books/jilid-3/pages/QJ3-P017.md
QJ3-P018,3,18,NORMALIZE,books/jilid-3/pages/QJ3-P018.md
QJ3-P019,3,19,NORMALIZE,books/jilid-3/pages/QJ3-P019.md
QJ3-P020,3,20,NORMALIZE,books/jilid-3/pages/QJ3-P020.md
QJ3-P021,3,21,NORMALIZE,books/jilid-3/pages/QJ3-P021.md
QJ3-P022,3,22,NORMALIZE,books/jilid-3/pages/QJ3-P022.md
QJ3-P023,3,23,NORMALIZE,books/jilid-3/pages/QJ3-P023.md
QJ3-P024,3,24,NORMALIZE,books/jilid-3/pages/QJ3-P024.md
QJ3-P025,3,25,NORMALIZE,books/jilid-3/pages/QJ3-P025.md
QJ3-P026,3,26,NORMALIZE,books/jilid-3/pages/QJ3-P026.md
QJ3-P027,3,27,NORMALIZE,books/jilid-3/pages/QJ3-P027.md
QJ3-P028,3,28,NORMALIZE,books/jilid-3/pages/QJ3-P028.md
QJ3-P029,3,29,NORMALIZE,books/jilid-3/pages/QJ3-P029.md
QJ3-P030,3,30,NORMALIZE,books/jilid-3/pages/QJ3-P030.md
QJ3-P031,3,31,NORMALIZE,books/jilid-3/pages/QJ3-P031.md
QJ3-P032,3,32,NORMALIZE,books/jilid-3/pages/QJ3-P032.md
QJ3-P033,3,33,NORMALIZE,books/jilid-3/pages/QJ3-P033.md
QJ3-P034,3,34,NORMALIZE,books/jilid-3/pages/QJ3-P034.md
QJ3-P035,3,35,NORMALIZE,books/jilid-3/pages/QJ3-P035.md
QJ3-P036,3,36,NORMALIZE,books/jilid-3/pages/QJ3-P036.md
QJ3-P037,3,37,NORMALIZE,books/jilid-3/pages/QJ3-P037.md
QJ3-P038,3,38,NORMALIZE,books/jilid-3/pages/QJ3-P038.md
QJ3-P039,3,39,NORMALIZE,books/jilid-3/pages/QJ3-P039.md
QJ3-P040,3,40,NORMALIZE,books/jilid-3/pages/QJ3-P040.md
QJ4-P001,4,1,PENDING,books/jilid-4/pages/QJ4-P001.md
QJ4-P002,4,2,PENDING,books/jilid-4/pages/QJ4-P002.md
QJ4-P003,4,3,PENDING,books/jilid-4/pages/QJ4-P003.md
QJ4-P004,4,4,PENDING,books/jilid-4/pages/QJ4-P004.md
QJ4-P005,4,5,PENDING,books/jilid-4/pages/QJ4-P005.md
QJ4-P006,4,6,PENDING,books/jilid-4/pages/QJ4-P006.md
QJ4-P007,4,7,PENDING,books/jilid-4/pages/QJ4-P007.md
QJ4-P008,4,8,PENDING,books/jilid-4/pages/QJ4-P008.md
QJ4-P009,4,9,PENDING,books/jilid-4/pages/QJ4-P009.md
QJ4-P010,4,10,PENDING,books/jilid-4/pages/QJ4-P010.md
QJ4-P011,4,11,PENDING,books/jilid-4/pages/QJ4-P011.md
QJ4-P012,4,12,PENDING,books/jilid-4/pages/QJ4-P012.md
QJ4-P013,4,13,PENDING,books/jilid-4/pages/QJ4-P013.md
QJ4-P014,4,14,PENDING,books/jilid-4/pages/QJ4-P014.md
QJ4-P015,4,15,PENDING,books/jilid-4/pages/QJ4-P015.md
QJ4-P016,4,16,PENDING,books/jilid-4/pages/QJ4-P016.md
QJ4-P017,4,17,PENDING,books/jilid-4/pages/QJ4-P017.md
QJ4-P018,4,18,PENDING,books/jilid-4/pages/QJ4-P018.md
QJ4-P019,4,19,PENDING,books/jilid-4/pages/QJ4-P019.md
QJ4-P020,4,20,PENDING,books/jilid-4/pages/QJ4-P020.md
QJ4-P021,4,21,PENDING,books/jilid-4/pages/QJ4-P021.md
QJ4-P022,4,22,PENDING,books/jilid-4/pages/QJ4-P022.md
QJ4-P023,4,23,PENDING,books/jilid-4/pages/QJ4-P023.md
QJ4-P024,4,24,PENDING,books/jilid-4/pages/QJ4-P024.md
QJ4-P025,4,25,PENDING,books/jilid-4/pages/QJ4-P025.md
QJ4-P026,4,26,PENDING,books/jilid-4/pages/QJ4-P026.md
QJ4-P027,4,27,PENDING,books/jilid-4/pages/QJ4-P027.md
QJ4-P028,4,28,PENDING,books/jilid-4/pages/QJ4-P028.md
QJ4-P029,4,29,PENDING,books/jilid-4/pages/QJ4-P029.md
QJ4-P030,4,30,PENDING,books/jilid-4/pages/QJ4-P030.md
QJ4-P031,4,31,PENDING,books/jilid-4/pages/QJ4-P031.md
QJ4-P032,4,32,PENDING,books/jilid-4/pages/QJ4-P032.md
QJ4-P033,4,33,PENDING,books/jilid-4/pages/QJ4-P033.md
QJ4-P034,4,34,PENDING,books/jilid-4/pages/QJ4-P034.md
QJ4-P035,4,35,PENDING,books/jilid-4/pages/QJ4-P035.md
QJ4-P036,4,36,PENDING,books/jilid-4/pages/QJ4-P036.md
QJ4-P037,4,37,PENDING,books/jilid-4/pages/QJ4-P037.md
QJ4-P038,4,38,PENDING,books/jilid-4/pages/QJ4-P038.md
QJ4-P039,4,39,PENDING,books/jilid-4/pages/QJ4-P039.md
QJ4-P040,4,40,PENDING,books/jilid-4/pages/QJ4-P040.md
QJ5-P001,5,1,PENDING,books/jilid-5/pages/QJ5-P001.md
QJ5-P002,5,2,PENDING,books/jilid-5/pages/QJ5-P002.md
QJ5-P003,5,3,PENDING,books/jilid-5/pages/QJ5-P003.md
QJ5-P004,5,4,PENDING,books/jilid-5/pages/QJ5-P004.md
QJ5-P005,5,5,PENDING,books/jilid-5/pages/QJ5-P005.md
QJ5-P006,5,6,PENDING,books/jilid-5/pages/QJ5-P006.md
QJ5-P007,5,7,PENDING,books/jilid-5/pages/QJ5-P007.md
QJ5-P008,5,8,PENDING,books/jilid-5/pages/QJ5-P008.md
QJ5-P009,5,9,PENDING,books/jilid-5/pages/QJ5-P009.md
QJ5-P010,5,10,PENDING,books/jilid-5/pages/QJ5-P010.md
QJ5-P011,5,11,PENDING,books/jilid-5/pages/QJ5-P011.md
QJ5-P012,5,12,PENDING,books/jilid-5/pages/QJ5-P012.md
QJ5-P013,5,13,PENDING,books/jilid-5/pages/QJ5-P013.md
QJ5-P014,5,14,PENDING,books/jilid-5/pages/QJ5-P014.md
QJ5-P015,5,15,PENDING,books/jilid-5/pages/QJ5-P015.md
QJ5-P016,5,16,PENDING,books/jilid-5/pages/QJ5-P016.md
QJ5-P017,5,17,PENDING,books/jilid-5/pages/QJ5-P017.md
QJ5-P018,5,18,PENDING,books/jilid-5/pages/QJ5-P018.md
QJ5-P019,5,19,PENDING,books/jilid-5/pages/QJ5-P019.md
QJ5-P020,5,20,PENDING,books/jilid-5/pages/QJ5-P020.md
QJ5-P021,5,21,PENDING,books/jilid-5/pages/QJ5-P021.md
QJ5-P022,5,22,PENDING,books/jilid-5/pages/QJ5-P022.md
QJ5-P023,5,23,PENDING,books/jilid-5/pages/QJ5-P023.md
QJ5-P024,5,24,PENDING,books/jilid-5/pages/QJ5-P024.md
QJ5-P025,5,25,PENDING,books/jilid-5/pages/QJ5-P025.md
QJ5-P026,5,26,PENDING,books/jilid-5/pages/QJ5-P026.md
QJ5-P027,5,27,PENDING,books/jilid-5/pages/QJ5-P027.md
QJ5-P028,5,28,PENDING,books/jilid-5/pages/QJ5-P028.md
QJ5-P029,5,29,PENDING,books/jilid-5/pages/QJ5-P029.md
QJ5-P030,5,30,PENDING,books/jilid-5/pages/QJ5-P030.md
QJ5-P031,5,31,PENDING,books/jilid-5/pages/QJ5-P031.md
QJ5-P032,5,32,PENDING,books/jilid-5/pages/QJ5-P032.md
QJ5-P033,5,33,PENDING,books/jilid-5/pages/QJ5-P033.md
QJ5-P034,5,34,PENDING,books/jilid-5/pages/QJ5-P034.md
QJ5-P035,5,35,PENDING,books/jilid-5/pages/QJ5-P035.md
QJ5-P036,5,36,PENDING,books/jilid-5/pages/QJ5-P036.md
QJ5-P037,5,37,PENDING,books/jilid-5/pages/QJ5-P037.md
QJ5-P038,5,38,PENDING,books/jilid-5/pages/QJ5-P038.md
QJ5-P039,5,39,PENDING,books/jilid-5/pages/QJ5-P039.md
QJ5-P040,5,40,PENDING,books/jilid-5/pages/QJ5-P040.md
QJ6-P001,6,1,PENDING,books/jilid-6/pages/QJ6-P001.md
QJ6-P002,6,2,PENDING,books/jilid-6/pages/QJ6-P002.md
QJ6-P003,6,3,PENDING,books/jilid-6/pages/QJ6-P003.md
QJ6-P004,6,4,PENDING,books/jilid-6/pages/QJ6-P004.md
QJ6-P005,6,5,PENDING,books/jilid-6/pages/QJ6-P005.md
QJ6-P006,6,6,PENDING,books/jilid-6/pages/QJ6-P006.md
QJ6-P007,6,7,PENDING,books/jilid-6/pages/QJ6-P007.md
QJ6-P008,6,8,PENDING,books/jilid-6/pages/QJ6-P008.md
QJ6-P009,6,9,PENDING,books/jilid-6/pages/QJ6-P009.md
QJ6-P010,6,10,PENDING,books/jilid-6/pages/QJ6-P010.md
QJ6-P011,6,11,PENDING,books/jilid-6/pages/QJ6-P011.md
QJ6-P012,6,12,PENDING,books/jilid-6/pages/QJ6-P012.md
QJ6-P013,6,13,PENDING,books/jilid-6/pages/QJ6-P013.md
QJ6-P014,6,14,PENDING,books/jilid-6/pages/QJ6-P014.md
QJ6-P015,6,15,PENDING,books/jilid-6/pages/QJ6-P015.md
QJ6-P016,6,16,PENDING,books/jilid-6/pages/QJ6-P016.md
QJ6-P017,6,17,PENDING,books/jilid-6/pages/QJ6-P017.md
QJ6-P018,6,18,PENDING,books/jilid-6/pages/QJ6-P018.md
QJ6-P019,6,19,PENDING,books/jilid-6/pages/QJ6-P019.md
QJ6-P020,6,20,PENDING,books/jilid-6/pages/QJ6-P020.md
QJ6-P021,6,21,PENDING,books/jilid-6/pages/QJ6-P021.md
QJ6-P022,6,22,PENDING,books/jilid-6/pages/QJ6-P022.md
QJ6-P023,6,23,PENDING,books/jilid-6/pages/QJ6-P023.md
QJ6-P024,6,24,PENDING,books/jilid-6/pages/QJ6-P024.md
QJ6-P025,6,25,PENDING,books/jilid-6/pages/QJ6-P025.md
QJ6-P026,6,26,PENDING,books/jilid-6/pages/QJ6-P026.md
QJ6-P027,6,27,PENDING,books/jilid-6/pages/QJ6-P027.md
QJ6-P028,6,28,PENDING,books/jilid-6/pages/QJ6-P028.md
QJ6-P029,6,29,PENDING,books/jilid-6/pages/QJ6-P029.md
QJ6-P030,6,30,PENDING,books/jilid-6/pages/QJ6-P030.md
QJ6-P031,6,31,PENDING,books/jilid-6/pages/QJ6-P031.md
QJ6-P032,6,32,PENDING,books/jilid-6/pages/QJ6-P032.md
QJ6-P033,6,33,PENDING,books/jilid-6/pages/QJ6-P033.md
QJ6-P034,6,34,PENDING,books/jilid-6/pages/QJ6-P034.md
QJ6-P035,6,35,PENDING,books/jilid-6/pages/QJ6-P035.md
QJ6-P036,6,36,PENDING,books/jilid-6/pages/QJ6-P036.md
QJ6-P037,6,37,PENDING,books/jilid-6/pages/QJ6-P037.md
QJ6-P038,6,38,PENDING,books/jilid-6/pages/QJ6-P038.md
QJ6-P039,6,39,PENDING,books/jilid-6/pages/QJ6-P039.md
QJ6-P040,6,40,PENDING,books/jilid-6/pages/QJ6-P040.md
QJ7-P001,7,1,PENDING,books/jilid-7/pages/QJ7-P001.md
QJ7-P002,7,2,PENDING,books/jilid-7/pages/QJ7-P002.md
QJ7-P003,7,3,PENDING,books/jilid-7/pages/QJ7-P003.md
QJ7-P004,7,4,PENDING,books/jilid-7/pages/QJ7-P004.md
QJ7-P005,7,5,PENDING,books/jilid-7/pages/QJ7-P005.md
QJ7-P006,7,6,PENDING,books/jilid-7/pages/QJ7-P006.md
QJ7-P007,7,7,PENDING,books/jilid-7/pages/QJ7-P007.md
QJ7-P008,7,8,PENDING,books/jilid-7/pages/QJ7-P008.md
QJ7-P009,7,9,PENDING,books/jilid-7/pages/QJ7-P009.md
QJ7-P010,7,10,PENDING,books/jilid-7/pages/QJ7-P010.md
QJ7-P011,7,11,PENDING,books/jilid-7/pages/QJ7-P011.md
QJ7-P012,7,12,PENDING,books/jilid-7/pages/QJ7-P012.md
QJ7-P013,7,13,PENDING,books/jilid-7/pages/QJ7-P013.md
QJ7-P014,7,14,PENDING,books/jilid-7/pages/QJ7-P014.md
QJ7-P015,7,15,PENDING,books/jilid-7/pages/QJ7-P015.md
QJ7-P016,7,16,PENDING,books/jilid-7/pages/QJ7-P016.md
QJ7-P017,7,17,PENDING,books/jilid-7/pages/QJ7-P017.md
QJ7-P018,7,18,PENDING,books/jilid-7/pages/QJ7-P018.md
QJ7-P019,7,19,PENDING,books/jilid-7/pages/QJ7-P019.md
QJ7-P020,7,20,PENDING,books/jilid-7/pages/QJ7-P020.md
QJ7-P021,7,21,PENDING,books/jilid-7/pages/QJ7-P021.md
QJ7-P022,7,22,PENDING,books/jilid-7/pages/QJ7-P022.md
QJ7-P023,7,23,PENDING,books/jilid-7/pages/QJ7-P023.md
QJ7-P024,7,24,PENDING,books/jilid-7/pages/QJ7-P024.md
QJ7-P025,7,25,PENDING,books/jilid-7/pages/QJ7-P025.md
QJ7-P026,7,26,PENDING,books/jilid-7/pages/QJ7-P026.md
QJ7-P027,7,27,PENDING,books/jilid-7/pages/QJ7-P027.md
QJ7-P028,7,28,PENDING,books/jilid-7/pages/QJ7-P028.md
QJ7-P029,7,29,PENDING,books/jilid-7/pages/QJ7-P029.md
QJ7-P030,7,30,PENDING,books/jilid-7/pages/QJ7-P030.md
QJ7-P031,7,31,PENDING,books/jilid-7/pages/QJ7-P031.md
QJ7-P032,7,32,PENDING,books/jilid-7/pages/QJ7-P032.md
QJ7-P033,7,33,PENDING,books/jilid-7/pages/QJ7-P033.md
QJ7-P034,7,34,PENDING,books/jilid-7/pages/QJ7-P034.md
QJ7-P035,7,35,PENDING,books/jilid-7/pages/QJ7-P035.md
QJ7-P036,7,36,PENDING,books/jilid-7/pages/QJ7-P036.md
QJ7-P037,7,37,PENDING,books/jilid-7/pages/QJ7-P037.md
QJ7-P038,7,38,PENDING,books/jilid-7/pages/QJ7-P038.md
QJ7-P039,7,39,PENDING,books/jilid-7/pages/QJ7-P039.md
QJ7-P040,7,40,PENDING,books/jilid-7/pages/QJ7-P040.md
QJ8-P001,8,1,PENDING,books/jilid-8/pages/QJ8-P001.md
QJ8-P002,8,2,PENDING,books/jilid-8/pages/QJ8-P002.md
QJ8-P003,8,3,PENDING,books/jilid-8/pages/QJ8-P003.md
QJ8-P004,8,4,PENDING,books/jilid-8/pages/QJ8-P004.md
QJ8-P005,8,5,PENDING,books/jilid-8/pages/QJ8-P005.md
QJ8-P006,8,6,PENDING,books/jilid-8/pages/QJ8-P006.md
QJ8-P007,8,7,PENDING,books/jilid-8/pages/QJ8-P007.md
QJ8-P008,8,8,PENDING,books/jilid-8/pages/QJ8-P008.md
QJ8-P009,8,9,PENDING,books/jilid-8/pages/QJ8-P009.md
QJ8-P010,8,10,PENDING,books/jilid-8/pages/QJ8-P010.md
QJ8-P011,8,11,PENDING,books/jilid-8/pages/QJ8-P011.md
QJ8-P012,8,12,PENDING,books/jilid-8/pages/QJ8-P012.md
QJ8-P013,8,13,PENDING,books/jilid-8/pages/QJ8-P013.md
QJ8-P014,8,14,PENDING,books/jilid-8/pages/QJ8-P014.md
QJ8-P015,8,15,PENDING,books/jilid-8/pages/QJ8-P015.md
QJ8-P016,8,16,PENDING,books/jilid-8/pages/QJ8-P016.md
QJ8-P017,8,17,PENDING,books/jilid-8/pages/QJ8-P017.md
QJ8-P018,8,18,PENDING,books/jilid-8/pages/QJ8-P018.md
QJ8-P019,8,19,PENDING,books/jilid-8/pages/QJ8-P019.md
QJ8-P020,8,20,PENDING,books/jilid-8/pages/QJ8-P020.md
QJ8-P021,8,21,PENDING,books/jilid-8/pages/QJ8-P021.md
QJ8-P022,8,22,PENDING,books/jilid-8/pages/QJ8-P022.md
QJ8-P023,8,23,PENDING,books/jilid-8/pages/QJ8-P023.md
QJ8-P024,8,24,PENDING,books/jilid-8/pages/QJ8-P024.md
QJ8-P025,8,25,PENDING,books/jilid-8/pages/QJ8-P025.md
QJ8-P026,8,26,PENDING,books/jilid-8/pages/QJ8-P026.md
QJ8-P027,8,27,PENDING,books/jilid-8/pages/QJ8-P027.md
QJ8-P028,8,28,PENDING,books/jilid-8/pages/QJ8-P028.md
QJ8-P029,8,29,PENDING,books/jilid-8/pages/QJ8-P029.md
QJ8-P030,8,30,PENDING,books/jilid-8/pages/QJ8-P030.md
QJ8-P031,8,31,PENDING,books/jilid-8/pages/QJ8-P031.md
QJ8-P032,8,32,PENDING,books/jilid-8/pages/QJ8-P032.md
QJ8-P033,8,33,PENDING,books/jilid-8/pages/QJ8-P033.md
QJ8-P034,8,34,PENDING,books/jilid-8/pages/QJ8-P034.md
QJ8-P035,8,35,PENDING,books/jilid-8/pages/QJ8-P035.md
QJ8-P036,8,36,PENDING,books/jilid-8/pages/QJ8-P036.md
QJ8-P037,8,37,PENDING,books/jilid-8/pages/QJ8-P037.md
QJ8-P038,8,38,PENDING,books/jilid-8/pages/QJ8-P038.md
QJ8-P039,8,39,PENDING,books/jilid-8/pages/QJ8-P039.md
QJ8-P040,8,40,PENDING,books/jilid-8/pages/QJ8-P040.md
