Page,MemorizationCode,MemorizationDescription,ArabicCode,ArabicDescription,AkhlaqCode,AkhlaqDescription,AssessmentCode,AssessmentDescription,FooterProfile,Status
11,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
12,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
13,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
14,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
15,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
16,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
17,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
18,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
19,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
20,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
21,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
22,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
23,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
24,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
25,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
26,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
27,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
28,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
29,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
30,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
31,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
32,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
33,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
34,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
35,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
36,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
37,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
38,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
39,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
40,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
