Page,Code,Stage,Focus,UnitPattern,AcquisitionType,ReviewPolicy,Status
19,QJ2-P019,JOINED_FORMS,Integrasi keluarga bentuk dan pemutus,24xL3,INTEGRATION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
20,QJ2-P020,JOINED_FORMS,Evaluasi bentuk II + Checkpoint Nama Huruf III,24xL3,EVALUATION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
21,QJ2-P021,TANWIN,Fathatain,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,BLOCKED_ORTHOGRAPHY_GATE
22,QJ2-P022,TANWIN,Kasratain,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,BLOCKED_ORTHOGRAPHY_GATE
23,QJ2-P023,TANWIN,Dhammatain,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,BLOCKED_ORTHOGRAPHY_GATE
24,QJ2-P024,TANWIN,Integrasi tiga tanwin,8xL3|16xL4,INTEGRATION,CUMULATIVE_COMPETENCY_REVIEW,BLOCKED_ORTHOGRAPHY_GATE
25,QJ2-P025,MAD,Orientasi pendek-panjang: dengar tunjuk tirukan,8xL3|16xL4,ORIENTATION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
26,QJ2-P026,MAD_ALIF,Fathah pendek vs fathah + alif,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
27,QJ2-P027,MAD_ALIF,Alif mad pada tiga huruf,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
28,QJ2-P028,MAD_ALIF,Alif mad pada empat huruf dan huruf pemutus,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
29,QJ2-P029,MAD_ALIF,Transfer alif mad ke kata bermakna/Qurani,8xL3|16xL4,TRANSFER,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
30,QJ2-P030,MAD_ALIF,Evaluasi alif mad dan kontras pendek,8xL3|16xL4,EVALUATION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
31,QJ2-P031,MAD_YA,Kasrah pendek vs kasrah + ya mad,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
32,QJ2-P032,MAD_YA,Ya mad pada tiga huruf,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
33,QJ2-P033,MAD_YA,Ya mad pada empat huruf dan transfer,8xL3|16xL4,TRANSFER,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
34,QJ2-P034,MAD_YA,Ya mad vs ya konsonan; murojaah alif,8xL3|16xL4,CONTRAST,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
35,QJ2-P035,MAD_WAW,Dhammah pendek vs dhammah + waw mad,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
36,QJ2-P036,MAD_WAW,Waw mad pada tiga huruf,8xL3|16xL4,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
37,QJ2-P037,MAD_WAW,Waw mad pada empat huruf dan transfer,8xL3|16xL4,TRANSFER,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
38,QJ2-P038,MAD_WAW,Waw mad vs waw konsonan; murojaah alif/ya,8xL3|16xL4,CONTRAST,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
39,QJ2-P039,MAD_INTEGRATION,Integrasi tiga mad dan kontras pendek-panjang,8xL3|16xL4,INTEGRATION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
40,QJ2-P040,MAD_INTEGRATION,Evaluasi akhir + Checkpoint Nama Huruf IV,8xL3|16xL4,EVALUATION,CUMULATIVE_COMPETENCY_REVIEW,PENDING_REGENERATION
