Page,Code,Competency,SubCompetency,Stair,PresentationRequired,PresentationTitle,PresentationObject,Function
29,QJ2-P029,Mad Alif,Transfer mad alif,Membaca transfer kata bermakna/Qurani,NO,Transfer Mad Alif,,TRANSFER_NO_NEW_PRESENTATION
30,QJ2-P030,Mad Alif,Evaluasi mad alif,Membedakan pendek dan mad alif secara kumulatif,NO,Evaluasi Mad Alif,,EVALUATION_NO_NEW_PRESENTATION
31,QJ2-P031,Mad Ya,Kasrah vs ya mad,Membedakan kasrah pendek dan mad ya,YES,Kasrah dan Mad Ya,بِ → بِي,PAPARAN_PENDING_REGENERATION
32,QJ2-P032,Mad Ya,Ya mad pada tiga huruf,Menerapkan mad ya dalam unit L3,NO,Penguatan Mad Ya,,REINFORCEMENT_NO_NEW_PRESENTATION
33,QJ2-P033,Mad Ya,Ya mad pada empat huruf,Menerapkan mad ya dalam L4 dan transfer,NO,Penguatan Mad Ya,,TRANSFER_NO_NEW_PRESENTATION
34,QJ2-P034,Mad Ya,Kontras ya,Membedakan ya mad dan ya konsonan,YES,Ya Mad dan Ya Konsonan,بِي ↔ بِيَ,PAPARAN_PENDING_REGENERATION
35,QJ2-P035,Mad Waw,Dhammah vs waw mad,Membedakan dhammah pendek dan mad waw,YES,Dhammah dan Mad Waw,بُ → بُو,PAPARAN_PENDING_REGENERATION
36,QJ2-P036,Mad Waw,Waw mad pada tiga huruf,Menerapkan mad waw dalam unit L3,NO,Penguatan Mad Waw,,REINFORCEMENT_NO_NEW_PRESENTATION
37,QJ2-P037,Mad Waw,Waw mad pada empat huruf,Menerapkan mad waw dalam L4 dan transfer,NO,Penguatan Mad Waw,,TRANSFER_NO_NEW_PRESENTATION
38,QJ2-P038,Mad Waw,Kontras waw,Membedakan waw mad dan waw konsonan,YES,Waw Mad dan Waw Konsonan,بُو ↔ بُوَ,PAPARAN_PENDING_REGENERATION
39,QJ2-P039,Mad Asli,Integrasi tiga mad,Membedakan alif ya waw mad dan bacaan pendek,YES,Tiga Mad Asli,بَا | بِي | بُو,PAPARAN_PENDING_REGENERATION
40,QJ2-P040,Mad Asli,Evaluasi akhir,Menguji kompetensi Jilid 2 secara kumulatif,NO,Evaluasi Akhir Jilid 2,,EVALUATION_NO_NEW_PRESENTATION
