CandidateID,ArabicCandidate,NormalizedWord,TargetCompetency,SecondaryCompetencies,SourceRef,SourceStatus,Difficulty,Priority,GeneratorWeight,Status,Notes
QWOC-000108,أَمَرَ,أمر,QCI-OR-0002,QCI-CN-0003|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Initial hamzah qata with ra
QWOC-000109,أَكَلَ,أكل,QCI-OR-0002,QCI-CN-0002|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Initial hamzah qata connected remainder
QWOC-000110,إِنَّ,إن,QCI-OR-0002,QCI-SH-0001|QCI-PH-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Hamzah below alif and shaddah
QWOC-000111,أَنَّ,أن,QCI-OR-0002,QCI-SH-0001|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Hamzah above alif and shaddah
QWOC-000112,إِلَى,إلى,QCI-OR-0005,QCI-OR-0002|QCI-PH-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Alif maqsura ending
QWOC-000113,عَلَى,على,QCI-OR-0005,QCI-CN-0002|QCI-PH-0001,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Frequent alif maqsura form
QWOC-000114,هُدَى,هدى,QCI-OR-0005,QCI-PH-0003|QCI-PH-0001,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Alif maqsura noun
QWOC-000115,مُوسَى,موسى,QCI-OR-0005,QCI-MD-0003|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Mad waw plus alif maqsura
QWOC-000116,عِيسَى,عيسى,QCI-OR-0005,QCI-MD-0002|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Mad ya plus alif maqsura
QWOC-000117,تَقْوَى,تقوى,QCI-OR-0005,QCI-SK-0001|QCI-PH-0001,PENDING,UNVERIFIED,4,MEDIUM,0.95,CANDIDATE,Sukun plus alif maqsura
QWOC-000118,دُنْيَا,دنيا,QCI-SK-0001,QCI-CN-0003|QCI-MD-0001,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Nun sukun and ya-alif sequence
QWOC-000119,أَنْتَ,أنت,QCI-SK-0001,QCI-OR-0002|QCI-PH-0001,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Nun sukun basic
QWOC-000120,عَنْهُ,عنه,QCI-SK-0001,QCI-PH-0003,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Nun sukun before ha
QWOC-000121,مِنْهُ,منه,QCI-SK-0001,QCI-PH-0002|QCI-PH-0003,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Nun sukun after kasrah
QWOC-000122,كُنْتُمْ,كنتم,QCI-SK-0001,QCI-PH-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Nun sukun and final mim
QWOC-000123,يَنْظُرُ,ينظر,QCI-SK-0001,QCI-PH-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Nun sukun in connected word
QWOC-000124,يَعْلَمُ,يعلم,QCI-SK-0003,QCI-CN-0002|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Ayn sukun target
QWOC-000125,نَعْبُدُ,نعبد,QCI-SK-0003,QCI-CN-0002|QCI-PH-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Ayn sukun medial
QWOC-000126,يَغْفِرُ,يغفر,QCI-SK-0003,QCI-CN-0002|QCI-PH-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Ghayn sukun medial
QWOC-000127,مَغْفِرَةٌ,مغفرة,QCI-SK-0003,QCI-OR-0004|QCI-TN-0003,PENDING,UNVERIFIED,5,MEDIUM,0.90,CANDIDATE,Ghayn sukun with ta marbuta
QWOC-000128,يَصْبِرُ,يصبر,QCI-SK-0004,QCI-CN-0002|QCI-PH-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Emphatic sad sukun
QWOC-000129,يَطْبَعُ,يطبع,QCI-SK-0004,QCI-CN-0002|QCI-PH-0001,PENDING,UNVERIFIED,4,MEDIUM,0.95,CANDIDATE,Emphatic ta sukun
QWOC-000130,يَقْدِرُ,يقدر,QCI-SK-0004,QCI-CN-0002|QCI-PH-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Qaf sukun medial
QWOC-000131,يَضْرِبُ,يضرب,QCI-SK-0004,QCI-CN-0003|QCI-PH-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Dad sukun before ra
QWOC-000132,رَبٌّ,رب,QCI-SH-0001,QCI-TN-0003|QCI-CN-0001,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Shaddah plus damm tanwin
QWOC-000133,حَقٌّ,حق,QCI-SH-0001,QCI-TN-0003|QCI-CN-0001,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Qaf shaddah final
QWOC-000134,شَرٌّ,شر,QCI-SH-0001,QCI-TN-0003|QCI-CN-0001,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Ra shaddah final
QWOC-000135,ذَرَّةٍ,ذرة,QCI-SH-0001,QCI-OR-0004|QCI-TN-0002,PENDING,UNVERIFIED,5,MEDIUM,0.95,CANDIDATE,Ra shaddah ta marbuta
QWOC-000136,جَنَّةٌ,جنة,QCI-SH-0001,QCI-OR-0004|QCI-TN-0003,PENDING,UNVERIFIED,5,HIGH,1.05,CANDIDATE,Nun shaddah ta marbuta
QWOC-000137,النَّاسُ,الناس,QCI-SH-0001,QCI-OR-0001|QCI-MD-0001,PENDING,UNVERIFIED,5,HIGH,1.10,CANDIDATE,Alif lam plus nun shaddah
QWOC-000138,الرَّحِيمُ,الرحيم,QCI-SH-0001,QCI-OR-0001|QCI-MD-0002,PENDING,UNVERIFIED,5,HIGH,1.05,CANDIDATE,Ra shaddah with mad ya
QWOC-000139,الطَّيِّبُ,الطيب,QCI-SH-0001,QCI-OR-0001|QCI-MD-0002,PENDING,UNVERIFIED,5,MEDIUM,0.95,CANDIDATE,Multiple shaddah patterns
QWOC-000140,قُوَّةٌ,قوة,QCI-SH-0001,QCI-OR-0004|QCI-TN-0003,PENDING,UNVERIFIED,5,MEDIUM,0.95,CANDIDATE,Waw shaddah and ta marbuta
QWOC-000141,كِتَابٌ,كتاب,QCI-MD-0001,QCI-TN-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.15,CANDIDATE,Mad alif and damm tanwin
QWOC-000142,عَذَابٌ,عذاب,QCI-MD-0001,QCI-TN-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Mad alif with dhal transition
QWOC-000143,حِسَابٌ,حساب,QCI-MD-0001,QCI-TN-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Mad alif and tanwin
QWOC-000144,سَلَامٌ,سلام,QCI-MD-0001,QCI-TN-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Mad alif frequent pattern
QWOC-000145,مَتَاعٌ,متاع,QCI-MD-0001,QCI-TN-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,MEDIUM,1.00,CANDIDATE,Mad alif before ayn
QWOC-000146,نِدَاءٌ,نداء,QCI-MD-0001,QCI-OR-0002|QCI-TN-0003,PENDING,UNVERIFIED,5,MEDIUM,0.90,CANDIDATE,Mad alif and final hamzah
QWOC-000147,مَاءٌ,ماء,QCI-MD-0001,QCI-OR-0002|QCI-TN-0003,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Compact mad plus hamzah
QWOC-000148,سَمَاءٌ,سماء,QCI-MD-0001,QCI-OR-0002|QCI-TN-0003,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Mad alif plus final hamzah
QWOC-000149,نِعْمَةٌ,نعمة,QCI-OR-0004,QCI-TN-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Ta marbuta noun
QWOC-000150,رَحْمَةٌ,رحمة,QCI-OR-0004,QCI-TN-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.15,CANDIDATE,Ta marbuta with non-connector
QWOC-000151,آيَةٌ,اية,QCI-OR-0004,QCI-TN-0003|QCI-MD-0001,PENDING,UNVERIFIED,5,HIGH,1.05,CANDIDATE,Ta marbuta with maddah carrier
QWOC-000152,حِكْمَةٌ,حكمة,QCI-OR-0004,QCI-TN-0003|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Ta marbuta common noun
QWOC-000153,شَجَرَةٌ,شجرة,QCI-OR-0004,QCI-TN-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,MEDIUM,1.00,CANDIDATE,Ta marbuta with ra transition
QWOC-000154,قَرْيَةٌ,قرية,QCI-OR-0004,QCI-SK-0001|QCI-TN-0003,PENDING,UNVERIFIED,5,MEDIUM,0.95,CANDIDATE,Ta marbuta with ra sukun
QWOC-000155,جَزَاءً,جزاء,QCI-TN-0001,QCI-OR-0002|QCI-MD-0001,PENDING,UNVERIFIED,5,MEDIUM,0.90,CANDIDATE,Fath tanwin after hamzah
QWOC-000156,دُعَاءً,دعاء,QCI-TN-0001,QCI-OR-0002|QCI-MD-0001,PENDING,UNVERIFIED,5,MEDIUM,0.90,CANDIDATE,Fath tanwin with final hamzah
QWOC-000157,هُدًى,هدى,QCI-TN-0001,QCI-OR-0005|QCI-PH-0003,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Fath tanwin on alif maqsura
QWOC-000158,عِلْمًا,علما,QCI-TN-0001,QCI-SK-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Fath tanwin basic noun
QWOC-000159,حَكِيمًا,حكيما,QCI-TN-0001,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Fath tanwin with mad ya
QWOC-000160,سَمِيعًا,سميعا,QCI-TN-0001,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Fath tanwin with ayn ending
QWOC-000161,عَلِيمًا,عليما,QCI-TN-0001,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Fath tanwin high frequency adjective
QWOC-000162,غَفُورًا,غفورا,QCI-TN-0001,QCI-MD-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Fath tanwin with mad waw
QWOC-000163,رَحِيمًا,رحيما,QCI-TN-0001,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Fath tanwin frequent adjective
QWOC-000164,كَبِيرًا,كبيرا,QCI-TN-0001,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Fath tanwin adjective
QWOC-000165,عَظِيمًا,عظيما,QCI-TN-0001,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Fath tanwin emphatic letter
QWOC-000166,خَبِيرًا,خبيرا,QCI-TN-0001,QCI-MD-0002|QCI-VF-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Fath tanwin kha family
QWOC-000167,نَذِيرًا,نذيرا,QCI-TN-0001,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,MEDIUM,0.95,CANDIDATE,Fath tanwin dhal transition
QWOC-000168,بَصِيرًا,بصيرا,QCI-TN-0001,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Fath tanwin sad
QWOC-000169,قَدِيرًا,قديرا,QCI-TN-0001,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Fath tanwin dal transition
QWOC-000170,شَيْءٍ,شيء,QCI-TN-0002,QCI-OR-0002|QCI-SK-0001,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Kasr tanwin on hamzah
QWOC-000171,خَيْرٍ,خير,QCI-TN-0002,QCI-SK-0001|QCI-VF-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin diphthong
QWOC-000172,شَرٍّ,شر,QCI-TN-0002,QCI-SH-0001|QCI-CN-0003,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Kasr tanwin with shaddah
QWOC-000173,قَوْمٍ,قوم,QCI-TN-0002,QCI-SK-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin diphthong
QWOC-000174,يَوْمٍ,يوم,QCI-TN-0002,QCI-SK-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin frequent noun
QWOC-000175,عَذَابٍ,عذاب,QCI-TN-0002,QCI-MD-0001|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin with mad alif
QWOC-000176,كِتَابٍ,كتاب,QCI-TN-0002,QCI-MD-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin with mad alif
QWOC-000177,رَسُولٍ,رسول,QCI-TN-0002,QCI-MD-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin with mad waw
QWOC-000178,سَبِيلٍ,سبيل,QCI-TN-0002,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin with mad ya
QWOC-000179,رَحْمَةٍ,رحمة,QCI-TN-0002,QCI-OR-0004|QCI-CN-0003,PENDING,UNVERIFIED,5,HIGH,1.05,CANDIDATE,Kasr tanwin ta marbuta
QWOC-000180,نِعْمَةٍ,نعمة,QCI-TN-0002,QCI-OR-0004|QCI-CN-0002,PENDING,UNVERIFIED,5,HIGH,1.05,CANDIDATE,Kasr tanwin ta marbuta
QWOC-000181,عِلْمٍ,علم,QCI-TN-0002,QCI-SK-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin compact noun
QWOC-000182,حَقٍّ,حق,QCI-TN-0002,QCI-SH-0001|QCI-CN-0001,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Kasr tanwin qaf shaddah
QWOC-000183,أَجْرٍ,اجر,QCI-TN-0002,QCI-SK-0001|QCI-OR-0002,PENDING,UNVERIFIED,5,HIGH,1.00,CANDIDATE,Kasr tanwin jim sukun
QWOC-000184,صِرَاطٍ,صراط,QCI-TN-0002,QCI-MD-0001|QCI-CN-0003,PENDING,UNVERIFIED,5,MEDIUM,0.95,CANDIDATE,Kasr tanwin emphatic letters
QWOC-000185,بَيْتٍ,بيت,QCI-TN-0002,QCI-SK-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Kasr tanwin diphthong
QWOC-000186,نُورٌ,نور,QCI-TN-0003,QCI-MD-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin mad waw
QWOC-000187,هُدًى,هدى,QCI-TN-0003,QCI-OR-0005|QCI-PH-0003,PENDING,UNVERIFIED,5,REVIEW,0.70,CANDIDATE,Form requires orthographic review
QWOC-000188,عِلْمٌ,علم,QCI-TN-0003,QCI-SK-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin compact noun
QWOC-000189,رَسُولٌ,رسول,QCI-TN-0003,QCI-MD-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin mad waw
QWOC-000190,كِتَابٌ,كتاب,QCI-TN-0003,QCI-MD-0001|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin mad alif
QWOC-000191,عَذَابٌ,عذاب,QCI-TN-0003,QCI-MD-0001|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin mad alif
QWOC-000192,غَفُورٌ,غفور,QCI-TN-0003,QCI-MD-0003|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000193,رَحِيمٌ,رحيم,QCI-TN-0003,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000194,عَلِيمٌ,عليم,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000195,حَكِيمٌ,حكيم,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000196,سَمِيعٌ,سميع,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000197,بَصِيرٌ,بصير,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000198,قَدِيرٌ,قدير,QCI-TN-0003,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000199,خَبِيرٌ,خبير,QCI-TN-0003,QCI-MD-0002|QCI-VF-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000200,شَهِيدٌ,شهيد,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.10,CANDIDATE,Damm tanwin adjective
QWOC-000201,قَرِيبٌ,قريب,QCI-TN-0003,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000202,بَعِيدٌ,بعيد,QCI-TN-0003,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000203,عَظِيمٌ,عظيم,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin emphatic letter
QWOC-000204,كَبِيرٌ,كبير,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000205,مُبِينٌ,مبين,QCI-TN-0003,QCI-MD-0002|QCI-CN-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000206,كَرِيمٌ,كريم,QCI-TN-0003,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000207,أَلِيمٌ,اليم,QCI-TN-0003,QCI-MD-0002|QCI-OR-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin hamzah initial
QWOC-000208,شَدِيدٌ,شديد,QCI-TN-0003,QCI-MD-0002|QCI-CN-0003,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000209,مَجِيدٌ,مجيد,QCI-TN-0003,QCI-MD-0002|QCI-VF-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
QWOC-000210,حَمِيدٌ,حميد,QCI-TN-0003,QCI-MD-0002|QCI-VF-0002,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Damm tanwin adjective
