QLO_ID,Text,NormalizedText,SourceRef,TargetCompetency,RequiredCompetencies,CumulativeCompetencies,DifficultyScore,AllowedFromJilid,AllowedFromPage,ReviewPriority,SourceType,Orthography,Status,Notes
QLO-000011,الدِّينِ,الدِّينِ,1:4,QT-U-022,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-019;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-019;QT-U-020;QT-U-022",21,5,8,55,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam syamsiyah, tasydid, dan mad ya"
QLO-000012,إِيَّاكَ,إِيَّاكَ,1:5,QT-U-025,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-019","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-019;QT-U-025",22,6,4,48,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Hamzah kasrah, mad ya, dan tasydid"
QLO-000013,نَعْبُدُ,نَعْبُدُ,1:5,QT-U-017,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016;QT-U-017",12,3,8,84,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Sukun pada ع dalam kata utuh"
QLO-000014,نَسْتَعِينُ,نَسْتَعِينُ,1:5,QT-U-026,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-017;QT-U-018","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-017;QT-U-018;QT-U-026",22,6,8,50,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Kata panjang; dua sukun; mad ya"
QLO-000015,اهْدِنَا,اهْدِنَا,1:6,QT-U-027,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-027",18,5,12,62,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Hamzat wasl, sukun, dan mad alif"
QLO-000016,الصِّرَاطَ,الصِّرَاطَ,1:6,QT-U-022,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-019;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-019;QT-U-020;QT-U-022",20,5,10,58,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam syamsiyah, tasydid, huruf tebal, mad alif"
QLO-000017,الْمُسْتَقِيمَ,الْمُسْتَقِيمَ,1:6,QT-U-023,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-018;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-018;QT-U-020;QT-U-023",24,6,12,45,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Kata panjang; alif-lam; sukun; mad ya"
QLO-000018,صِرَاطَ,صِرَاطَ,1:7,QT-U-012,"QT-U-001;QT-U-002;QT-U-003;QT-U-008","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012",11,3,4,86,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Mad alif dan huruf tebal"
QLO-000019,الَّذِينَ,الَّذِينَ,1:7,QT-U-022,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-019;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-019;QT-U-020;QT-U-022",21,5,10,56,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam, tasydid, dan mad ya"
QLO-000020,أَنْعَمْتَ,أَنْعَمْتَ,1:7,QT-U-017,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016;QT-U-017",17,4,20,68,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Hamzah dan dua sukun dalam kata utuh"
QLO-000021,عَلَيْهِمْ,عَلَيْهِمْ,1:7,QT-U-024,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016;QT-U-024",16,4,22,70,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Ya layyin dan sukun akhir"
QLO-000022,غَيْرِ,غَيْرِ,1:7,QT-U-024,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016;QT-U-024",13,4,18,75,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Ya layyin dalam kata utuh"
QLO-000023,الْمَغْضُوبِ,الْمَغْضُوبِ,1:7,QT-U-023,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-014;QT-U-016;QT-U-017;QT-U-018;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-014;QT-U-016;QT-U-017;QT-U-018;QT-U-020;QT-U-023",25,6,16,42,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Kata panjang; alif-lam; sukun; mad wawu"
QLO-000024,الضَّالِّينَ,الضَّالِّينَ,1:7,QT-U-028,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-013;QT-U-019;QT-U-020;QT-U-022","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-013;QT-U-019;QT-U-020;QT-U-022;QT-U-028",28,6,20,35,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam syamsiyah; huruf tebal; tasydid; mad lazim"
